sampling_method,dc_n_particles,estimate
DC,100,-3835.81046180159
STD,10,-4033.60637213964
STD,100000,-3814.17234453638
STD,100000,-3812.84794088151
STD,100,-3861.05666835351
STD,100,-3883.6751373331
STD,100,-3867.5365241194
STD,10,-4060.12374194928
STD,10,-4020.0696790115
STD,10,-4039.72697264649
STD,100,-3865.37627602399
STD,10000,-3819.66029316706
DC,10,-4000.11407543802
STD,100,-3883.09023364224
STD,10000,-3819.93602497102
DC,10000,-3809.84182432565
STD,1000,-3825.59105763643
DC,100,-3852.87156451615
DC,10000,-3813.99997611677
DC,1000,-3820.94911452595
STD,10000,-3818.83147907601
DC,10,-3967.27447739654
DC,10,-3969.23960560189
STD,1000,-3820.22188036118
STD,100000,-3813.70292836013
DC,100000,-3812.13176825865
DC,100,-3854.79026427878
STD,10,-4007.59791103684
DC,10,-3969.92965665905
STD,10,-4025.71332797494
STD,100000,-3816.13073152655
DC,10000,-3813.31358105603
DC,100,-3852.06050352196
STD,1000,-3828.13100426796
STD,1000,-3826.99615687164
DC,100,-3863.86934125989
STD,100000,-3816.06767955102
STD,100,-3890.04666454948
STD,100000,-3815.04385032279
DC,10,-3981.85589737613
DC,10000,-3811.23513606641
STD,10,-4039.54760352375
DC,100000,-3811.71015922891
STD,100,-3888.21829273532
STD,10,-4035.69764358081
STD,10000,-3822.20706808232
DC,10,-3975.99404266288
STD,10000,-3822.12285850735
DC,10000,-3809.60751604833
DC,10,-3993.41719116382
DC,100,-3840.52644983654
DC,100000,-3811.4103559613
STD,100000,-3816.07208496735
DC,10,-4011.80036419173
DC,10,-3978.97588659226
DC,100,-3840.51086464846
DC,100,-3843.07855856126
STD,10000,-3816.67498149682
STD,1000,-3822.42542120053
STD,100000,-3814.05771067181
STD,10,-4020.55118850601
DC,10,-3978.92634219633
DC,10000,-3813.30869268911
DC,100000,-3812.57552871889
DC,1000,-3817.05980353037
DC,100,-3847.22754375279
DC,10,-3995.44958195543
STD,10000,-3818.6433090858
DC,10000,-3811.57843082764
STD,100000,-3816.28569114261
DC,100000,-3812.8184435066
DC,10000,-3813.39970325685
STD,10000,-3821.49628048097
DC,10000,-3814.6431308264
DC,1000,-3816.7590298991
STD,10,-3993.65618618785
STD,10,-4012.47105277563
DC,1000,-3821.01106863284
DC,1000,-3820.96046617417
DC,10000,-3812.44679918943
DC,100,-3853.67369081399
DC,100000,-3812.45256638245
DC,10000,-3810.59295259224
STD,10,-4033.20314780066
DC,10,-3970.18914350551
DC,100,-3854.30117936541
DC,100000,-3811.98436522799
DC,1000,-3822.38932690944
DC,100,-3836.9047251643
DC,1000,-3819.18318712388
STD,10000,-3817.61095021783
STD,100,-3877.31523578531
STD,100,-3865.31129707035
STD,1000,-3834.39287421721
STD,1000,-3833.77936267002
DC,10,-4016.42267972419
DC,10,-4001.18206090104
STD,1000,-3834.58308142657
DC,100000,-3811.27249061732
DC,100,-3850.22218309871
STD,100,-3895.12075516052
DC,10000,-3809.75267651787
DC,10,-3961.92543455949
DC,10,-4004.96707322794
STD,10,-4041.25497535292
STD,100000,-3814.85974027769
STD,100000,-3814.08727433615
STD,100000,-3814.8104991722
DC,10000,-3814.3686754095
DC,1000,-3825.78909845373
STD,100000,-3816.95021660931
STD,100,-3889.38103278652
STD,100,-3894.29565843261
STD,1000,-3828.5963730868
DC,10,-3984.4335893292
STD,10,-4014.50531780276
STD,1000,-3833.65148033644
DC,1000,-3817.75236847041
DC,100,-3842.98807503015
STD,100000,-3816.34930693231
STD,10000,-3821.1781077945
